time,open,high,low,close
1673931600,21162,21187,21136,21147
1673935200,21151,21155,21072,21072
1673938800,21075,21174,21069,21137
1673942400,21138,21212,21135,21206
1673946000,21206,21245,21152,21177
1673949600,21176,21178,21090,21136
1673953200,21132,21232,21106,21226
1673956800,21228,21344,21198,21257
1673960400,21257,21269,21186,21235
1673964000,21232,21594,21065,21279
1673967600,21280,21378,21043,21187
1673971200,21173,21240,21087,21163
1673974800,21164,21243,21092,21228
1673978400,21229,21422,21194,21351
1673982000,21372,21385,21290,21341
1673985600,21342,21396,21271,21386
1673989200,21398,21409,21282,21320
1673992800,21316,21343,21217,21232
1673996400,21232,21274,21133,21134
1674000000,21136,21240,21115,21208
1674003600,21207,21261,21183,21236
1674007200,21249,21350,21159,21297
1674010800,21296,21377,21267,21267
1674014400,21264,21297,21233,21285
1674018000,21288,21316,21259,21314
1674021600,21318,21318,21252,21263
1674025200,21263,21312,21249,21310
1674028800,21311,21317,21219,21250
1674032400,21250,21280,21168,21233
1674036000,21233,21258,21171,21187
1674039600,21181,21237,21176,21209
1674043200,21205,21294,21205,21263
1674046800,21263,21465,21217,21415
1674050400,21416,21646,21324,21420
1674054000,21438,21548,20853,21029
1674057600,21028,21028,20358,20867
1674061200,20859,21123,20749,20882
1674064800,20874,21050,20843,20934
1674068400,20937,20977,20880,20898
1674072000,20899,20933,20675,20732
1674075600,20720,20833,20716,20780
1674079200,20779,20808,20629,20808
1674082800,20799,20811,20647,20670
1674086400,20678,20756,20678,20696
1674090000,20696,20771,20684,20710
1674093600,20716,20769,20654,20762
1674097200,20761,20806,20747,20750
1674100800,20745,20865,20745,20808
1674104400,20808,20847,20797,20812
1674108000,20815,20856,20804,20828
1674111600,20834,20844,20804,20811
1674115200,20822,20841,20766,20774
1674118800,20768,20802,20736,20796
1674122400,20796,20800,20756,20793
1674126000,20793,20793,20714,20738
1674129600,20739,20769,20694,20734
1674133200,20731,20806,20679,20783
1674136800,20783,20870,20721,20801
1674140400,20792,20952,20789,20877
1674144000,20876,20919,20833,20877
1674147600,20875,20941,20800,20841
1674151200,20848,21017,20834,20981
1674154800,20981,21130,20955,21093
1674158400,21095,21185,21050,21103
1674162000,21105,21113,20944,20946
1674165600,20945,21085,20944,21072
1674169200,21072,21125,21025,21086
1674172800,21085,21120,21033,21055
1674176400,21059,21143,21020,21123
1674180000,21121,21220,21091,21091
1674183600,21090,21114,21071,21095
1674187200,21095,21128,20981,20997
1674190800,20992,21034,20962,20988
